rotulo,arquivo,status,destino
Abacaxi,Abacaxi_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abacaxi\public\public_0000.npy
Abacaxi,Abacaxi_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abacaxi\public\public_0001.npy
Abacaxi,Abacaxi_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abacaxi\public\public_0002.npy
Abanar,Abanar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abanar\public\public_0000.npy
Abanar,Abanar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abanar\public\public_0001.npy
Abanar,Abanar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abanar\public\public_0002.npy
Abandonar,Abandonar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abandonar\public\public_0000.npy
Abandonar,Abandonar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abandonar\public\public_0001.npy
Abandonar,Abandonar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abandonar\public\public_0002.npy
Abelha,Abelha_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abelha\public\public_0000.npy
Abelha,Abelha_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abelha\public\public_0001.npy
Abelha,Abelha_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abelha\public\public_0002.npy
Abençoar,Abençoar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abençoar\public\public_0000.npy
Abençoar,Abençoar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abençoar\public\public_0001.npy
Abençoar,Abençoar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abençoar\public\public_0002.npy
Aborto,Aborto_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aborto\public\public_0000.npy
Aborto,Aborto_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aborto\public\public_0001.npy
Aborto,Aborto_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aborto\public\public_0002.npy
Abraço,Abraço_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abraço\public\public_0000.npy
Abraço,Abraço_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abraço\public\public_0001.npy
Abraço,Abraço_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abraço\public\public_0002.npy
Abrir a janela,Abrir a janela_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a janela\public\public_0000.npy
Abrir a janela,Abrir a janela_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a janela\public\public_0001.npy
Abrir a janela,Abrir a janela_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a janela\public\public_0002.npy
Abrir a porta,Abrir a porta_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a porta\public\public_0000.npy
Abrir a porta,Abrir a porta_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a porta\public\public_0001.npy
Abrir a porta,Abrir a porta_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abrir a porta\public\public_0002.npy
Abóbora,Abóbora_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abóbora\public\public_0000.npy
Abóbora,Abóbora_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abóbora\public\public_0001.npy
Abóbora,Abóbora_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Abóbora\public\public_0002.npy
Acabar,Acabar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acabar\public\public_0000.npy
Acabar,Acabar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acabar\public\public_0001.npy
Acabar,Acabar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acabar\public\public_0002.npy
Academia,Academia_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Academia\public\public_0000.npy
Academia,Academia_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Academia\public\public_0001.npy
Academia,Academia_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Academia\public\public_0002.npy
Aceitar,Aceitar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aceitar\public\public_0000.npy
Aceitar,Aceitar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aceitar\public\public_0001.npy
Aceitar,Aceitar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aceitar\public\public_0002.npy
Acenar,Acenar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acenar\public\public_0000.npy
Acenar,Acenar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acenar\public\public_0001.npy
Acenar,Acenar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acenar\public\public_0002.npy
Acidente,Acidente_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acidente\public\public_0000.npy
Acidente,Acidente_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acidente\public\public_0001.npy
Acidente,Acidente_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acidente\public\public_0002.npy
Acima,Acima_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acima\public\public_0000.npy
Acima,Acima_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acima\public\public_0001.npy
Acima,Acima_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acima\public\public_0002.npy
Acompanhar,Acompanhar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acompanhar\public\public_0000.npy
Acompanhar,Acompanhar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acompanhar\public\public_0001.npy
Acompanhar,Acompanhar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acompanhar\public\public_0002.npy
Aconselhar,Aconselhar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aconselhar\public\public_0000.npy
Aconselhar,Aconselhar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aconselhar\public\public_0001.npy
Aconselhar,Aconselhar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Aconselhar\public\public_0002.npy
Acontecer,Acontecer_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acontecer\public\public_0000.npy
Acontecer,Acontecer_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acontecer\public\public_0001.npy
Acontecer,Acontecer_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acontecer\public\public_0002.npy
Acordar (alarme),Acordar (alarme)_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acordar (alarme)\public\public_0000.npy
Acordar (alarme),Acordar (alarme)_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acordar (alarme)\public\public_0001.npy
Acordar (alarme),Acordar (alarme)_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acordar (alarme)\public\public_0002.npy
Acrescentar,Acrescentar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acrescentar\public\public_0000.npy
Acrescentar,Acrescentar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acrescentar\public\public_0001.npy
Acrescentar,Acrescentar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Acrescentar\public\public_0002.npy
Adaptar,Adaptar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adaptar\public\public_0000.npy
Adaptar,Adaptar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adaptar\public\public_0001.npy
Adaptar,Adaptar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adaptar\public\public_0002.npy
Adiante,Adiante_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiante\public\public_0000.npy
Adiante,Adiante_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiante\public\public_0001.npy
Adiante,Adiante_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiante\public\public_0002.npy
Adiar,Adiar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiar\public\public_0000.npy
Adiar,Adiar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiar\public\public_0001.npy
Adiar,Adiar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adiar\public\public_0002.npy
Admitir,Admitir_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Admitir\public\public_0000.npy
Admitir,Admitir_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Admitir\public\public_0001.npy
Admitir,Admitir_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Admitir\public\public_0002.npy
Adquirir,Adquirir_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adquirir\public\public_0000.npy
Adquirir,Adquirir_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adquirir\public\public_0001.npy
Adquirir,Adquirir_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adquirir\public\public_0002.npy
Adulto,Adulto_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adulto\public\public_0000.npy
Adulto,Adulto_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adulto\public\public_0001.npy
Adulto,Adulto_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Adulto\public\public_0002.npy
Advertir,Advertir_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Advertir\public\public_0000.npy
Advertir,Advertir_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Advertir\public\public_0001.npy
Advertir,Advertir_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Advertir\public\public_0002.npy
Afogar,Afogar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Afogar\public\public_0000.npy
Afogar,Afogar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Afogar\public\public_0001.npy
Afogar,Afogar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Afogar\public\public_0002.npy
Agarrar,Agarrar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agarrar\public\public_0000.npy
Agarrar,Agarrar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agarrar\public\public_0001.npy
Agarrar,Agarrar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agarrar\public\public_0002.npy
Agasalho,Agasalho_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agasalho\public\public_0000.npy
Agasalho,Agasalho_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agasalho\public\public_0001.npy
Agasalho,Agasalho_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agasalho\public\public_0002.npy
Agir (fazer),Agir (fazer)_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agir (fazer)\public\public_0000.npy
Agir (fazer),Agir (fazer)_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agir (fazer)\public\public_0001.npy
Agir (fazer),Agir (fazer)_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agir (fazer)\public\public_0002.npy
Agitar,Agitar_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agitar\public\public_0000.npy
Agitar,Agitar_Articulador2.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agitar\public\public_0001.npy
Agitar,Agitar_Articulador3.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agitar\public\public_0002.npy
Agora,Agora_Articulador1.mp4,ok,C:\KONECTA\OCR\dados_libras\dinamicos\Agora\public\public_0000.npy
